PROMOTION_CODE|COUPON_CODE|BUSINESS_DATE|TRANSACTION_DATE|GL_POST_DATE|STORE_NO|SKU_NUMBER|TRANSACTION_NUMBER|TRANSACTION_LINE_NUMBER|TERMINAL_ID|TRANSACTION_TYPE|ATG_ORDER_NO|LOCAL_DISCOUNT_AMT|ATG_PROFILE_ID|BI_USA_ID
csr15pfd0120|csr15dis0120|2020-01-30|2020-01-30 12:47:20||800|2228583|51976|1|827|SALE|27137562212-01|1.20|2816349348|2300000015711177
csr15pfd0120|csr15dis0120|2020-01-30|2020-01-30 12:47:20||800|2245298|51976|1|827|SALE|27137562212-01|1.95|2816349348|2300000015711177
employeediscount2019|employee30|2020-01-30|2020-01-30 12:47:21||800|1670116|51970|1|827|SALE|27144714046-01|11.40|6296455595|2300000033368010
employeediscount2019|employee30|2020-01-30|2020-01-30 12:47:21||800|1912385|51970|1|827|SALE|27144714046-01|24.00|6296455595|2300000033368010
employeediscount2019|employee30|2020-01-30|2020-01-30 12:47:21||800|1773118|51970|1|827|SALE|27144714046-01|7.50|6296455595|2300000033368010
employeediscount2019|employee30|2020-01-30|2020-01-30 12:47:21||800|2166973|51970|1|827|SALE|27144714046-01|22.20|6296455595|2300000033368010
promo4240001|rw00359014530717|2020-01-30|2020-01-30 12:52:20||800|1221084|52246|1|827|SALE|27143498672-01|.59|5144218001|2300000041607130
promo4240001|rw00359014530717|2020-01-30|2020-01-30 12:52:20||800|2106078|52246|1|827|SALE|27143498672-01|1.49|5144218001|2300000041607130
promo4240001|rw00359014530717|2020-01-30|2020-01-30 12:52:20||800|1709021|52246|1|827|SALE|27143498672-01|1.16|5144218001|2300000041607130
promo4240001|rw00359014530717|2020-01-30|2020-01-30 12:52:20||800|2113884|52246|1|827|SALE|27143498672-01|.81|5144218001|2300000041607130
promo4240001|rw00359014530717|2020-01-30|2020-01-30 12:52:20||800|2281806|52246|1|827|SALE|27143498672-01|.95|5144218001|2300000041607130
promo3790001|rrc6177904755159974|2020-01-30|2020-01-30 12:52:23||800|2032761|52153|1|827|SALE|27145362470-01|10.63|7456095829|2300000041909858
promo3790001|rrc6177904755159974|2020-01-30|2020-01-30 12:52:23||800|2182863|52153|1|827|SALE|27145362470-01|9.90|7456095829|2300000041909858
promo3790001|rrc6177904755159974|2020-01-30|2020-01-30 12:52:23||800|2286375|52153|1|827|SALE|27145362470-01|4.47|7456095829|2300000041909858
janskinbogo30200125|saveonskin|2020-01-30|2020-01-30 12:52:23||800|1962141|52322|1|827|SALE|27109052376-01|5.70|2386784369|2300000011960987
promo4240001|rw00354007838948|2020-01-30|2020-01-30 12:52:23||800|1923101|52514|1|827|SALE|27139291339-01|2.08|8690905190|2300000048416455
janskinbogo30200125|saveonskin|2020-01-30|2020-01-30 12:52:24||800|2051902|52155|1|827|SALE|27111693291-01|9.00|2359151976|2300000011706721
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:52:24||800|1903384|52237|1|827|SALE|27144573013-01|2.02|7648769894|2300000043411102
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:52:24||800|1704949|52237|1|827|SALE|27144573013-01|1.20|7648769894|2300000043411102
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:52:24||800|1473743|52237|1|827|SALE|27144573013-01|1.65|7648769894|2300000043411102
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:52:24||800|2031052|52237|1|827|SALE|27144573013-01|7.35|7648769894|2300000043411102
employeediscount2019|employee30|2020-01-30|2020-01-30 12:52:24||800|513176|52240|1|827|SALE|27142525751-01|81.00|10096482687|2300000054528107
employeediscount2019|employee30|2020-01-30|2020-01-30 12:52:24||800|1237387|52240|1|827|SALE|27142525751-01|103.50|10096482687|2300000054528107
promo4240001|rw00356215629540|2020-01-30|2020-01-30 12:52:24||800|2239184|52276|1|827|SALE|27147207971-01|1.35|1972625638|2300000007439139
promo4240001|rw00356215629540|2020-01-30|2020-01-30 12:52:24||800|2239192|52276|1|827|SALE|27147207971-01|1.35|1972625638|2300000007439139
promo4240001|rw00356215629540|2020-01-30|2020-01-30 12:52:24||800|2015618|52276|1|827|SALE|27147207971-01|2.30|1972625638|2300000007439139
janskinbogo30200125|saveonskin|2020-01-30|2020-01-30 12:52:24||800|1810308|52376|1|827|SALE|27107400477-01|9.60|1115603906|2253998842130172
janskinbogo30200125|saveonskin|2020-01-30|2020-01-30 12:57:22||800|2182582|52511|1|827|SALE|27110845706-01|19.20|1169963051|2300000001136454
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:57:23||800|1881382|52546|1|827|SALE|27142979162-01|6.00|23042904900|2300000074672924
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:57:23||800|2182111|52546|1|827|SALE|27142979162-01|2.70|23042904900|2300000074672924
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:57:23||800|1925965|52546|1|827|SALE|27142979162-01|2.85|23042904900|2300000074672924
firstbuydiscountpromo|firstbuypercentoff|2020-01-30|2020-01-30 12:57:23||800|2210995|52546|1|827|SALE|27142979162-01|4.50|23042904900|2300000074672924
ArmaniLuminousFoundationCustomSet_012820||2020-01-30|2020-01-30 00:00:00||1020|1359553|17113|1|323|SALE|27140822888-02|64.00|21915350734|2300000070359620
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|1764976|16900|1|323|SALE|27147816566-01|.29|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|1765007|16900|1|323|SALE|27147816566-01|.29|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|2060283|16900|1|323|SALE|27147816566-01|.29|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|1764950|16900|1|323|SALE|27147816566-01|.29|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|2273191|16900|1|323|SALE|27147816566-01|1.22|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|2082774|16900|1|323|SALE|27147816566-01|1.67|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|2174852|16900|1|323|SALE|27147816566-01|1.95|2109842719|2300000008920309
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|1973684|17075|1|323|SALE|27151857049-01|1.50|1906784267|2300000006656340
sc3masks1free0315_us|sc3masks1free0315_us|2020-01-30|2020-01-30 12:52:23||1020|1765007|17075|1|323|SALE|27151857049-01|4.50|1906784267|2300000006656340
promo3790001|rrc6178612148477231|2020-01-30|2020-01-30 12:52:25||1020|2035079|16880|1|323|SALE|27151816895-01|25.00|6131529710|2300000031783312
employeediscount2019|employee30|2020-01-30|2020-01-30 12:57:23||1020|2124121|17062|1|323|SALE|27152364438-01|11.40|6197699804|2300000032409901
promo40013|10%off|2020-02-12|2020-02-12 15:28:36||800|1785443|990|1|800|SALE|20064470423-01|2.00|20109100172|5000000013010599
promo40013|10%off|2020-02-12|2020-02-12 15:48:36||1020|2152882|129|1|301|SALE|20064470416-01|2.20|20109100172|5000000013010599
