id,active_application_users_quantities,active_corporate_users_quantities,date,entity_id
221583,2,0,2021-11-16,1105
221582,2,0,2021-11-16,1105
221581,2,0,2021-11-16,1105
221580,2,0,2021-11-16,1105
221579,2,0,2021-11-16,1105
221578,2,0,2021-11-16,1105
221577,2,0,2021-11-16,1105
221576,3,0,2021-11-16,1105
221575,3,0,2021-11-16,1105
221574,3,0,2021-11-16,1105
221573,3,0,2021-11-16,1105
221572,3,0,2021-11-16,1105
221571,3,0,2021-11-16,1105
221570,3,0,2021-11-16,1105
221569,3,0,2021-11-16,1105
221568,2,0,2021-11-16,1105
221567,2,0,2021-11-16,1105
221566,1,0,2021-11-16,1105
221499,1,0,2021-11-16,1105
221477,1,0,2021-11-16,1105
221435,1,0,2021-11-16,1105
221216,0,0,2021-11-16,1105
