org_id,atg_id,usa_id,sephora_id,order_number,atg_order_number,transaction_date,transaction_datetime,transaction_datetime_utc,fulfill_milestone_datetime,channel_type,transaction_type,sub_transaction_type,store_number,mplus_store_number,bi_tier_atorder,units,gross_sales_usd_amount,gross_sales_local_amount,sales_afterdiscount_usd_amount,sales_afterdiscount_local_amount,net_sales_usd_amount,net_sales_local_amount,discount_usd_amount,discount_local_amount,exchange_rate,giftwrap_gross_amount,giftwrap_net_amount,ship_gross_amount,ship_net_amount,tax_amount,origin_of_order,country_of_origin,currency_code,cancel_flag,dotcom_guest_flag,flash_order_type,csr_id,transaction_number,language,original_order_number,terminal_id,demand_gross_sales,demand_discounted_sales,ship_amount,gift_wrap_amount,gift_wrap_flag,gwp_flag,order_cancel_flag,order_cancel_datetime,sample_flag,order_submit_datetime,order_submit_datetime_utc,order_submit_datetime_local,order_submit_year_month,order_submit_date,order_submit_hour,dp_create_timestamp,dp_update_timestamp,sephora_id_update_timestamp,topic,partition,offset,timestamp,channel,transaction_datetime_local,hold_release_datetime,cancel_type,cancel_reason_text,cancel_reason_code,pickup_cancelled_datetime,seller_org_code,bi_pointsbalance_atorder,shipped_datetime,pickup_store_number,picked_up_datetime,external_order_type,external_order_number,hal_selected
01,1388410033,2253998839935392,1050174018,113827921,113827921,2020-09-24,2020-09-24 13:46:30,2020-09-24 20:46:30,2020-09-24 13:46:30,US ONLINE,R,null,0701,null,null,-1,0,0,0,0,0,-0.0,0,0,null,null,null,null,null,-0.0,iphoneAppV2.0,US,USD,null,N,null,csrORL IngridCastro,null,null,31034600185,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:46:30,2020-09-24 20:46:30,2020-09-24 13:46:30,202009,2020-09-24,13,2020-10-08 22:40:00,2020-10-08 22:40:00,2020-10-08 22:40:00,OrderHeader,0,767821,1602184197151,Online,2020-09-24 13:46:30,null,null,null,null,null,null,null,null,null,null,null,null,null
01,1471019670,2300000002670785,1072538638,113831660,113831660,2020-09-24,2020-09-24 13:44:45,2020-09-24 20:44:45,2020-09-24 13:44:45,US ONLINE,R,null,0701,null,null,-2,0,0,0,0,-109,-109.0,0,0,null,null,null,null,null,-8.72,mobileWeb,US,USD,null,N,null,csrWPG FranciscaOdunlami,null,null,31042947510,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:44:45,2020-09-24 20:44:45,2020-09-24 13:44:45,202009,2020-09-24,13,2020-10-08 22:34:46,2020-10-08 22:34:46,2020-10-08 22:34:46,OrderHeader,5,740572,1602183810288,Online,2020-09-24 13:44:45,null,null,null,null,null,null,null,null,null,null,null,null,null
01,1222014409,2300000006464443,1088584918,113832610,113832610,2020-09-24,2020-09-24 13:34:48,2020-09-24 20:34:48,2020-09-24 13:34:48,US ONLINE,R,null,0701,null,null,-1,0,0,0,0,0,-0.0,0,0,null,null,null,null,null,-0.0,mobileWeb,US,USD,null,N,null,csrWPG Tahara AfrinLiza,null,null,31031867907,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:34:48,2020-09-24 20:34:48,2020-09-24 13:34:48,202009,2020-09-24,13,2020-10-08 22:48:24,2020-10-08 22:48:24,2020-10-08 22:48:24,OrderHeader,1,741013,1602184512368,Online,2020-09-24 13:34:48,null,null,null,null,null,null,null,null,null,null,null,null,null
01,1324802752,2253998838159122,1053075760,113829491,113829491,2020-09-24,2020-09-24 13:19:57,2020-09-24 20:19:57,2020-09-24 13:19:57,US ONLINE,R,null,0701,null,null,-1,0,0,0,0,-22,-22.0,0,0,null,null,null,null,null,-2.09,iphoneAppV2.0,US,USD,null,N,null,csrWPG AyodeleAyanniyi,null,null,31048625637,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:19:57,2020-09-24 20:19:57,2020-09-24 13:19:57,202009,2020-09-24,13,2020-10-08 22:38:57,2020-10-08 22:38:57,2020-10-08 22:38:57,OrderHeader,15,740866,1602184003352,Online,2020-09-24 13:19:57,null,null,null,null,null,null,null,null,null,null,null,null,null
01,10341079871,2300000055819571,1063400530,113825761,113825761,2020-09-24,2020-09-24 13:55:22,2020-09-24 20:55:22,2020-09-24 13:55:22,US ONLINE,R,null,0701,null,null,-2,0,0,0,0,-35,-35.0,0,0,null,null,null,null,null,-2.54,iphoneAppV2.0,US,USD,null,N,null,csrORL AshleySorosiak,null,null,31065424153,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:55:22,2020-09-24 20:55:22,2020-09-24 13:55:22,202009,2020-09-24,13,2020-10-08 22:40:00,2020-10-08 22:40:00,2020-10-08 22:40:00,OrderHeader,9,741000,1602184189170,Online,2020-09-24 13:55:22,null,null,null,null,null,null,null,null,null,null,null,null,null
01,25962639089,2300000082660677,1048343936,113825747,113825747,2020-09-24,2020-09-24 13:24:21,2020-09-24 20:24:21,2020-09-24 13:24:21,US ONLINE,R,null,0701,null,null,-3,0,0,0,0,-80,-80.0,0,0,null,null,null,null,null,-5.8,mobileWeb,US,USD,null,N,null,csrWPG Macy AlexisRestar1,null,null,30112910474,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:24:21,2020-09-24 20:24:21,2020-09-24 13:24:21,202009,2020-09-24,13,2020-10-08 22:34:46,2020-10-08 22:34:46,2020-10-08 22:34:46,OrderHeader,7,740677,1602183810550,Online,2020-09-24 13:24:21,null,null,null,null,null,null,null,null,null,null,null,null,null
01,1326816183,2253998838251008,1011600614,113826798,113826798,2020-09-24,2020-09-24 13:17:04,2020-09-24 20:17:04,2020-09-24 13:17:04,US ONLINE,R,null,0701,null,null,-1,0,0,0,0,-5.8,-5.8,0,0,null,null,null,null,null,-0.41,androidNativeApp,US,USD,null,N,null,csrORL KiaraGuzman,null,null,30960432685,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:17:04,2020-09-24 20:17:04,2020-09-24 13:17:04,202009,2020-09-24,13,2020-10-08 22:38:57,2020-10-08 22:38:57,2020-10-08 22:38:57,OrderHeader,11,740781,1602184001303,Online,2020-09-24 13:17:04,null,null,null,null,null,null,null,null,null,null,null,null,null
01,25214687869,2300000081463955,1037391359,113825751,113825751,2020-09-24,2020-09-24 13:27:05,2020-09-24 20:27:05,2020-09-24 13:27:05,US ONLINE,R,null,0701,null,null,-1,0,0,0,0,-15,-15.0,0,0,null,null,null,null,null,-0.94,iphoneAppV2.0,US,USD,null,N,null,csrMIA Alexa_Castillo,null,null,30962656565,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:27:05,2020-09-24 20:27:05,2020-09-24 13:27:05,202009,2020-09-24,13,2020-10-08 22:34:46,2020-10-08 22:34:46,2020-10-08 22:34:46,OrderHeader,6,740851,1602183830894,Online,2020-09-24 13:27:05,null,null,null,null,null,null,null,null,null,null,null,null,null
01,6270609945,2300000033140075,1023881697,113827897,113827897,2020-09-24,2020-09-24 13:10:30,2020-09-24 20:10:30,2020-09-24 13:10:30,US ONLINE,R,null,0701,null,null,-1,0,0,0,0,-15.3,-15.3,0,0,null,null,null,null,null,-1.36,iphoneAppV2.0,US,USD,null,N,null,csrWPG NikitaDesai,null,null,31049467038,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:10:30,2020-09-24 20:10:30,2020-09-24 13:10:30,202009,2020-09-24,13,2020-10-08 22:34:46,2020-10-08 22:34:46,2020-10-08 22:34:46,OrderHeader,5,740571,1602183808809,Online,2020-09-24 13:10:30,null,null,null,null,null,null,null,null,null,null,null,null,null
01,1493460878,2253998841780175,1074227680,113829488,113829488,2020-09-24,2020-09-24 13:13:10,2020-09-24 20:13:10,2020-09-24 13:13:10,US ONLINE,R,null,0701,null,null,-5,0,0,0,0,-214,-214.0,0,0,null,null,null,null,null,-13.38,default,US,USD,null,N,null,csrWPG AnishaSharma,null,null,31051315458,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:13:10,2020-09-24 20:13:10,2020-09-24 13:13:10,202009,2020-09-24,13,2020-10-08 22:38:57,2020-10-08 22:38:57,2020-10-08 22:38:57,OrderHeader,15,740865,1602184001519,Online,2020-09-24 13:13:10,null,null,null,null,null,null,null,null,null,null,null,null,null
01,11512537179,2300000060355916,1009965652,113826847,113826847,2020-09-24,2020-09-24 13:54:57,2020-09-24 20:54:57,2020-09-24 13:54:57,US ONLINE,R,null,0701,null,null,-2,0,0,0,0,-12.5,-12.5,0,0,null,null,null,null,null,-1.14,iphoneAppV2.0,US,USD,null,N,null,csrUDC Katelynn_Chastain,null,null,30951235731,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:54:57,2020-09-24 20:54:57,2020-09-24 13:54:57,202009,2020-09-24,13,2020-10-08 22:38:57,2020-10-08 22:38:57,2020-10-08 22:38:57,OrderHeader,16,740758,1602183993322,Online,2020-09-24 13:54:57,null,null,null,null,null,null,null,null,null,null,null,null,null
01,7486707411,2300000042115352,1081147405,113832590,113832590,2020-09-24,2020-09-24 13:19:14,2020-09-24 20:19:14,2020-09-24 13:19:14,US ONLINE,R,null,0701,null,null,-3,0,0,0,0,-26,-26.0,0,0,null,null,null,null,null,-1.62,default,US,USD,null,N,null,csrORL EdgardoGil Alvarez,null,null,30845853820,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:19:14,2020-09-24 20:19:14,2020-09-24 13:19:14,202009,2020-09-24,13,2020-10-08 22:34:46,2020-10-08 22:34:46,2020-10-08 22:34:46,OrderHeader,4,740646,1602183817524,Online,2020-09-24 13:19:14,null,null,null,null,null,null,null,null,null,null,null,null,null
01,1664831479,2253998844781077,1027743126,113826833,113826833,2020-09-24,2020-09-24 13:42:03,2020-09-24 20:42:03,2020-09-24 13:42:03,CA ONLINE,R,null,0750,null,null,-7,0,0,0,0,-68.32761450096972,-91.6,0,0,1.3406,null,null,null,null,-11.91,default,CA,CAD,null,N,null,csrWPG JepicSimon,null,null,30980248960,null,0,0,null,null,null,null,null,null,N,2020-09-24 13:42:03,2020-09-24 20:42:03,2020-09-24 13:42:03,202009,2020-09-24,13,2020-10-08 22:38:57,2020-10-08 22:38:57,2020-10-08 22:38:57,OrderHeader,10,740834,1602183997500,Online,2020-09-24 13:42:03,null,null,null,null,null,null,null,null,null,null,null,null,null
