sephora_id,order_number,atg_order_number,purchase_date,product_sk,sku_number,store_number,discount_amount,transaction_type,currency_code,void_flag,dotcom_guest_flag,brand_name,sample_sku_code,csr_id,standard_sample_flag,total_sales_local_amount,gross_units,product_category,merch_code,country_origin,mplus_flag,transaction_number,transaction_sequence_number,shipped_date,department_number,department_name,hazmat_flag,gift_flag,dt,release_date,received_date,purchase_year,purchase_month,channel_type
1053102379,087030272500000002466800005,null,2020-10-26,40950699,2045110,1200,0,S,US,N,null,SEPHORA COLOR,,null,null,12,1,Mascara,,null,,24668,3,2020-10-26,40,Sephora Collection,null,null,2020-10-29-160918,null,null,2020,10,US STORE
null,086840065000000005106400004,,2020-10-07,40980122,2337483,398,0,S,US,N,null,NARS,,null,null,38,1,Bronzer,,,,51064,1,2020-10-07,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1053102379,087030272500000002466800005,null,2020-10-26,40975797,2295988,1200,0,S,US,N,null,MILK MAKE UP,,null,null,12,1,Eyeliner,,null,,24668,5,2020-10-26,10,Makeup,null,null,2020-10-29-160918,null,null,2020,10,US STORE
null,086840065000000005106400004,,2020-10-07,40926244,1802107,398,0,S,US,N,null,OUAI,,null,null,26,1,Hair Styling Products,,,,51064,2,2020-10-07,16,Hair,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1053102379,087030272500000002466800005,null,2020-10-26,40911270,1656057,1200,0,S,US,N,null,SEPHORA COLOR,,null,null,6,1,Lip Liner,,null,,24668,4,2020-10-26,40,Sephora Collection,null,null,2020-10-28-161844,null,null,2020,10,US STORE
null,086840068000000002221300001,,2020-10-07,40984074,2377372,134,0,S,US,N,null,"THOMAS, PETER",,null,null,65,1,Value & Gift Sets,,,,22213,1,2020-10-07,15,Skincare,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,40974533,2283034,448,0,S,US,N,null,SEPHORA SKINCARE,,null,null,3.5,1,Eye Masks,,null,,74134,1,2020-10-16,40,Sephora Collection,null,null,2020-10-18-155241,null,null,2020,10,US STORE
null,086840080200000006043200001,,2020-10-07,40965745,2196467,210,0,S,US,N,null,DR.JART+,,null,null,18,1,Face Serums,,,,60432,1,2020-10-07,15,Skincare,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,40984310,2379253,448,0,S,US,N,null,DR.JART+,,null,null,25,1,Value & Gift Sets,,null,,74134,7,2020-10-16,15,Skincare,null,null,2020-10-19-154606,null,null,2020,10,US STORE
null,086840088700000005853600004,,2020-10-07,40982657,2362523,142,0,S,US,N,null,CHLOE,,null,null,95,1,Perfume,,,,58536,2,2020-10-07,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,40963031,2168938,448,0,S,US,N,null,MAKE UP FOR EVER,,null,null,28,1,Concealer,,null,,74134,3,2020-10-16,10,Makeup,null,null,2020-10-19-154606,null,null,2020,10,US STORE
null,086840088700000005853600004,,2020-10-07,40900604,1569326,142,0,R,US,N,null,CHLOE,,null,null,-95,-1,Perfume,,,,58536,1,2020-10-07,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,182332,1164599,448,0,S,US,N,null,MAKE UP FOR EVER,,null,null,20,1,Lip Liner,,null,,74134,5,2020-10-16,10,Makeup,null,null,2020-10-18-155241,null,null,2020,10,US STORE
null,086840096600000000179100004,,2020-10-07,40987582,2412302,474,0,S,US,N,null,BRIOGEO HAIR CARE,OT,null,null,0,1,GWP,,,,1791,2,2020-10-07,96,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,40984862,2384949,448,0,S,US,N,null,RARE BEAUTY,,null,null,19,1,Eyeliner,,null,,74134,4,2020-10-16,10,Makeup,null,null,2020-10-18-155241,null,null,2020,10,US STORE
null,086840096600000000179100004,,2020-10-07,40987582,2412302,474,0,S,US,N,null,BRIOGEO HAIR CARE,OT,null,null,0,1,GWP,,,,1791,1,2020-10-07,96,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,40969901,2236719,448,0,S,US,N,null,IT COSMETICS,,null,null,39,1,Face Primer,,null,,74134,2,2020-10-16,10,Makeup,null,null,2020-10-19-154606,null,null,2020,10,US STORE
null,086840101700000006275000006,,2020-10-07,40965107,2190320,650,0,S,US,N,null,SEPHORA COLOR,,null,null,14,1,Nail,,,,62750,1,2020-10-07,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049758338,086930085900000007413400003,null,2020-10-16,40983849,2374445,448,0,S,US,N,null,NARS,,null,null,40,1,Foundation,,null,,74134,6,2020-10-16,10,Makeup,null,null,2020-10-18-155241,null,null,2020,10,US STORE
null,086840101700000006275000006,,2020-10-07,40979911,2335693,650,0,S,US,N,null,SEPHORA COLOR,,null,null,12,1,Lip Sets,,,,62750,3,2020-10-07,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1029577084,086870095200000007326500004,,2020-10-10,40939798,1935105,176,0,S,US,N,null,SEPHORA COLOR,,null,null,9,1,Lipstick,,,,73265,1,2020-10-10,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086840109400000003021100001,,2020-10-07,40963499,2174852,664,0,S,US,N,null,OLE HENRIKSEN,,null,null,40,1,Value & Gift Sets,,,,30211,1,2020-10-07,15,Skincare,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1029577084,086870095200000007326500004,,2020-10-10,40981800,2353993,176,0,S,US,N,null,VIOLET VOSS,,null,null,42,1,Eye Palettes,,,,73265,2,2020-10-10,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086840228600000003323800001,,2020-10-07,40980706,2343721,726,0,S,US,N,null,SEPHORA COLOR,,null,null,30,1,Lip Sets,,,,33238,1,2020-10-07,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1013468373,086980253000000002113300008,null,2020-10-21,40965220,2191252,946,0,S,US,N,null,MILK MAKE UP,,null,null,15,1,Mini Size,,null,,21133,1,2020-10-21,10,Makeup,null,null,2020-10-23-155056,null,null,2020,10,US STORE
null,086840228600000003323800001,,2020-10-07,40924803,1787761,726,0,S,US,N,null,SEPHORA COLOR,,null,null,20,1,Foundation,,,,33238,3,2020-10-07,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1013468373,086980253000000002113300008,null,2020-10-21,40916556,1705037,946,0,S,US,N,null,KVD VEGAN BEAUTY,,null,null,21,1,Lipstick,,null,,21133,2,2020-10-21,10,Makeup,null,null,2020-10-23-155056,null,null,2020,10,US STORE
